0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:15:35 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:15:35 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:15:42 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:15:47 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:15:47 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:18:46 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:18:46 +0900] "GET /test/mypage.css HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:19:04 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:19:04 +0900] "GET /test/mypage.css HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:19:46 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:19:46 +0900] "GET /test/mypage.css HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:20:57 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:20:58 +0900] "GET /test/mypage.css HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:33:20 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:33:20 +0900] "GET /test/mypage.css HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:33:38 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:33:38 +0900] "GET /test/mypage.css HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:34:40 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:34:40 +0900] "GET /test/mypage.css HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:35:50 +0900] "GET /test/MypageServlet?btn=like HTTP/1.1" 200 1379
