127.0.0.1 - - [16/Jun/2020:10:26:34 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:26:36 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:26:36 +0900] "GET /test/mypageTop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:26:36 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:26:42 +0900] "POST /test/LoginServlet HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:27:12 +0900] "GET /test/MypageServlet?btn=set HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:27:13 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:27:34 +0900] "GET /test/MypageServlet?btn=like HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:27:36 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:32:54 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:57:33 +0900] "GET /test/MypageServlet?btn=like HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:57:38 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:57:38 +0900] "GET /test/mypage.css HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:57:44 +0900] "GET /test/MypageServlet?btn=set HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:57:45 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:58:06 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:58:08 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [16/Jun/2020:10:58:09 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1490
