127.0.0.1 - - [05/Jun/2020:10:18:10 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:18:11 +0900] "GET /test/LoginServlet HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:18:11 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:18:18 +0900] "POST /test/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:18:20 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:19:49 +0900] "GET /webExam2/manage.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:19:50 +0900] "GET /webExam2/reg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:19:52 +0900] "GET /webExam2/ManageServlet?btn=search&selectWay=all HTTP/1.1" 200 7419
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:19:53 +0900] "GET /webExam2/ManageServlet?init= HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:19:55 +0900] "GET /webExam2/ManageServlet?btn=search&selectWay=all HTTP/1.1" 200 7419
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:19:57 +0900] "GET /webExam2/ManageServlet?init= HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:20:14 +0900] "GET /webExam2/ManageServlet?name=&btn=search&selectWay=name HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:20:18 +0900] "GET /webExam2/ManageServlet?category=general&btn=search&selectWay=category HTTP/1.1" 200 7419
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:20:19 +0900] "GET /webExam2/ManageServlet?btn=search&selectWay=all HTTP/1.1" 200 7419
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:20:21 +0900] "GET /webExam2/ManageServlet?init= HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:20:22 +0900] "GET /webExam2/ManageServlet?category=general&btn=search&selectWay=category HTTP/1.1" 200 7419
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:20:22 +0900] "GET /webExam2/ManageServlet?init= HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:41:27 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [05/Jun/2020:10:51:50 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:15:51 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:18:11 +0900] "GET /test/mypage.jsp?ssearch= HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:24:24 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:38:25 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:39:25 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:39:35 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1848
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:39:51 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:42:43 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:42:57 +0900] "GET /test/mypage.jsp?ssearch= HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:42:58 +0900] "GET /test/mypage.jsp? HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:44:49 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:47:10 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [05/Jun/2020:11:48:32 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:33:54 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [05/Jun/2020:12:35:04 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [05/Jun/2020:14:10:18 +0900] "GET /test/mypage.jsp?search= HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [05/Jun/2020:14:10:19 +0900] "GET /test/mypage.jsp? HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:11:56 +0900] "GET /test/mypage.jsp?search= HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:12:57 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:22:19 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:36:14 +0900] "GET /test/mypage.jsp?search= HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:36:15 +0900] "GET /test/mypage.jsp?search= HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:53:48 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:55:13 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:55:48 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:56:17 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:57:01 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [05/Jun/2020:15:57:55 +0900] "GET /test/mypage.jsp HTTP/1.1" 200 1525
