127.0.0.1 - - [26/Jun/2020:10:15:16 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:17 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:17 +0900] "GET /test/mypageTop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:18 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:28 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:29 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:29 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:29 +0900] "GET /test/back1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:29 +0900] "GET /test/back2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:29 +0900] "GET /test/back3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:29 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:35 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:35 +0900] "GET /test/search.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:48 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:48 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:48 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 65536
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:48 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:48 +0900] "GET /video_bg.jpg HTTP/1.1" 404 913
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:15:48 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 82968576
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:30:48 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:30:54 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:30:54 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:30:59 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:31:01 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 6172
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:31:02 +0900] "GET /video_bg.jpg HTTP/1.1" 404 913
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:31:02 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:31:02 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:31:03 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:31:04 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 82837505
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:31:37 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 49479680
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:32:07 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:32:45 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 3014656
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:35:56 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:37:33 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:38:27 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:39:31 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:39:31 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:39:31 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:39:35 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:39:37 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 6172
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:39:37 +0900] "GET /video_bg.jpg HTTP/1.1" 404 913
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:39:37 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:39:37 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:40:00 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [26/Jun/2020:10:40:00 +0900] "GET /test/.jpg HTTP/1.1" 404 914
