127.0.0.1 - - [25/Jun/2020:10:16:34 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:36 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:37 +0900] "GET /test/mypageTop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:37 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:56 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:56 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:56 +0900] "GET /test/back1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:56 +0900] "GET /test/back2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:56 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:56 +0900] "GET /test/back3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:16:57 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:17:03 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2708
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:17:03 +0900] "GET /test/search.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:17:04 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4287
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:17:05 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:17:05 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:17:05 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:17:05 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 83034112
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:20:49 +0900] "GET /webExam2/manage.jsp HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:20:50 +0900] "GET /webExam2/reg.png HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:21:31 +0900] "GET /webExam2/ManageServlet?btn=search&selectWay=all HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:21:39 +0900] "GET /webExam2/ManageServlet?btn=search&selectWay=sales HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:21:41 +0900] "GET /webExam2/ManageServlet?init= HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:27:25 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:27:31 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:27:32 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:27:35 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:27:40 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:27:41 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:27:41 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:27:41 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 83034112
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:06 +0900] "GET /test/SearchServlet?category=%E3%82%A2%E3%83%8B%E3%83%A1&btn=&selectWay=category HTTP/1.1" 200 4312
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:06 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:06 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:06 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:06 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:06 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:19 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:19 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:19 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:23 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:23 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:33:23 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:40:52 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:40:52 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:40:52 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:40:53 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 179622
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:40:53 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 84131238
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:42:39 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:42:39 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 83213734
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:42:50 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:42:50 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 65536
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:42:50 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:42:50 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:42:50 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 179622
0:0:0:0:0:0:0:1 - - [25/Jun/2020:10:42:50 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 179622
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:20:00 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:20:01 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:20:01 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:20:05 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:20:05 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:20:05 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:48:55 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:48:57 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:48:59 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 4702
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:48:59 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:48:59 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:49:13 +0900] "GET /test/SearchServlet?name=%E5%A4%A9%E6%B0%97%E3%81%AE%E5%AD%90&btn=&selectWay=name HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:49:13 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:49:13 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:54:50 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:54:57 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:54:57 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:54:58 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:55:02 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3181
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:55:05 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5105
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:55:05 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:11:55:05 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:11:59 +0900] "GET /test/SearchServlet?name=%E5%A4%A9%E6%B0%97%E3%81%AE%E5%AD%90&btn=&selectWay=name HTTP/1.1" 200 3908
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:11:59 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:11:59 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:11:59 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:12:02 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5126
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:12:02 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:12:02 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:12:02 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 179622
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:12:03 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 84131238
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:43 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:43 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:44 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:45 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:45 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:47 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3181
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:49 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5105
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:49 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:49 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 65536
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:49 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:50 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 179622
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:20:50 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 206 179622
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:26:06 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:26:11 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:26:11 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:26:11 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:26:15 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3181
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:26:17 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5153
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:26:17 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:26:17 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:28:17 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:28:21 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:28:21 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:28:21 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:28:24 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3181
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:28:26 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5291
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:33:55 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:33:59 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:33:59 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:33:59 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:34:04 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:34:06 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:41:33 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:41:33 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:41:33 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:41:37 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:41:42 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:43:20 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:43:26 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:50:53 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:50:58 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:50:58 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:50:58 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:51:02 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:51:06 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5254
0:0:0:0:0:0:0:1 - - [25/Jun/2020:12:54:10 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [25/Jun/2020:14:13:44 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:16:45 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:16:45 +0900] "GET /test/search.css HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:17:42 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:17:51 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5170
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:18:18 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:18:33 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:39:16 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:39:16 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:39:17 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:39:21 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:39:24 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5304
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:34 +0900] "GET /test/MypageServlet?btn=set HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:34 +0900] "GET /test/set.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:35 +0900] "POST /test/SetServlet HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:40 +0900] "POST /test/LoginServlet HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:40 +0900] "GET /test/.jpg HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:43 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 3173
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:44 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5118
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:45 +0900] "GET /test/IMG_3891.MOV HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:45 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:40:45 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:41:12 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 5118
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:41:12 +0900] "GET /test/.MOV HTTP/1.1" 404 914
0:0:0:0:0:0:0:1 - - [25/Jun/2020:16:41:12 +0900] "GET /test/.MOV HTTP/1.1" 404 914
