127.0.0.1 - - [19/Jun/2020:10:10:26 +0900] "GET / HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:27 +0900] "GET /test/mypageTop.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:27 +0900] "GET /test/mypageTop.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:28 +0900] "GET /favicon.ico HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:35 +0900] "POST /test/LoginServlet HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:35 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:43 +0900] "GET /test/MypageServlet?btn=like HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:45 +0900] "GET /test/MypageServlet?btn=set HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:46 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:52 +0900] "GET /test/SearchServlet?name=%E3%82%B3%E3%83%8A%E3%83%B3&btn=&selectWay=name HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:10:54 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:55:19 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:55:21 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:55:23 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:19:30 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2418
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:19:36 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:19:41 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:24:09 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:24:11 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:24:13 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:25:01 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:41:32 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:41:34 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:41:41 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:41:43 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:41:59 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:01 +0900] "GET /test/MypageServlet HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:35 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:36 +0900] "GET /test/MypageServlet HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:42:38 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:10 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:11 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:12 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:13 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:13 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:43:14 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:54:51 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:55:02 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2149
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:55:02 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:55:17 +0900] "GET /test/MypageServlet?btn=set HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:55:18 +0900] "POST /test/SetServlet HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:55:32 +0900] "POST /test/LoginServlet HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:55:46 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:55:53 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 2153
